"SCAC","Trailer ID","Last Location","Last Position Time","Last Event","Last Event Time","Dormant State","Days Dormant","Ext Power","Latitude","Longitude","MSN","Sched Status Report Time","Status Report Interval","Queued Status Report Interval","Emergency Tracking","Reporting Interval","Temp Notification","Low Battery","Depleted Battery","GPS Antenna","Overdue Status","Stale Position","Loaded/Empty","Loaded Time","Cargo Status","Door Status","Aux Status","Trip Status","Monitoring Plan ID","Description","Overrides","Trailer Type","Manufacturer","Model Year","Length","Door Type","Suspension Type","Roof Type","Lift Gate Equipped","Mobile Unit Type","Tractor ID","Tractor SCAC","Connected/Disconnected","Connect Time","Active Geofence","Group Membership","Firmware","Reefer Last Communication Time","Reefer Type","Reefer Model","Enabled for Monitoring","Reefer Mode","Reefer Engine Mode","Reefer Engine State","Reefer Engine Speed","Reefer Operating Status","Reefer Set Point","Reefer Return Temp","Reefer Supply Temp","Reefer Engine Hours","Reefer Battery Voltage","Highest OEM Alarm State","Temp Out-of-Range Alarm","Low Fuel Alarm","Incorrect Set Point Alarm","Reefer OEM Alarm Severity Level","Reefer OEM Alarm Codes"
"BGME","DD014","At TOK in Tulsa, OK","12/28/08 02:22:45  EST","Battery Needs Charge","12/28/08 02:23:10  EST","high","49","no","36.17916","-95.78555","0120131700","06 am","","never","off","","no","medium","medium","","","","unknown","","not installed","not installed","not installed","unknown","HH","Heavy Haul","yes","DD","FON","2005","48 ft","unknown","unknown","unknown","unknown","untethered","","","disconnected","","no","ungrouped","","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"BGME","DD015","At Mammoth, AZ","01/07/09 21:14:15  EST","UTT Status Report","01/07/09 21:13:47  EST","high","11","no","32.72111","-110.64333","0120131520","06 am","","never","off","","no","","","","","","unknown","","not installed","not installed","not installed","unknown","HH","Heavy Haul","yes","DD","XL","2006","48 ft","unknown","unknown","unknown","unknown","untethered","","","disconnected","","no","ungrouped","","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"BGME","DD016","8.18 miles SSE of WCA in WINDSOR, CA","01/06/09 16:00:20  EST","UTT Status Report","01/08/09 07:55:15  EST","high","9","no","38.42555","-122.73055","0120156766","06 am","","never","off","","no","","","","","high","unknown","","not installed","not installed","not installed","unknown","HH","Heavy Haul","yes","DD","xL","2006","48 ft","unknown","unknown","unknown","unknown","untethered","207863","BGME","connected","12/21/08 19:44:25  EST","no","ungrouped","","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"BGME","DD017","At TOK in Tulsa, OK","01/05/09 07:41:31  EST","Battery Needs Charge","01/05/09 07:41:53  EST","high","68","no","36.17944","-95.78694","0120157436","06 am","","never","off","","no","medium","medium","","","","unknown","","not installed","not installed","not installed","unknown","HH","Heavy Haul","yes","DD","XL","2006","48 ft","unknown","unknown","unknown","unknown","untethered","","","disconnected","","no","ungrouped","","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"BGME","DD018","At RRT in New Boston, TX","01/07/09 22:16:41  EST","UTT Status Report","01/07/09 22:15:45  EST","high","20","no","33.45527","-94.40944","0120133277","06 am","","never","off","","no","","","","","","unknown","","not installed","not installed","not installed","unknown","HH","Heavy Haul","yes","DD","XL","2006","48 ft","unknown","unknown","unknown","unknown","untethered","","","disconnected","","no","ungrouped","","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"BGME","DD02",".52 miles NNE of Cochranville, PA","01/07/09 22:04:45  EST","UTT Status Report","01/07/09 22:04:09  EST","high","19","no","39.87777","-75.90722","0120133181","06 am","","never","off","","no","","","","","","unknown","","not installed","not installed","not installed","unknown","HH","Heavy Haul","yes","GN","TRK","1996","48 ft","unknown","unknown","unknown","unknown","untethered","","","disconnected","","no","ungrouped","","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"BGME","DD020",".72 miles WSW of Suffern, NY","12/08/08 11:20:14  EST","UTT Status Report","01/08/09 00:21:36  EST","high","31","no","41.11138","-74.16333","0120133192","06 am","","never","off","","no","","","high","","high","unknown","","not installed","not installed","not installed","unknown","HH","Heavy Haul","yes","DD","XL","2006","53 ft","unknown","unknown","unknown","unknown","untethered","","","disconnected","12/16/08 03:33:13  EST","no","ungrouped","","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"BGME","DD021","At Fontana, CA","01/07/09 16:02:18  EST","UTT Status Report","01/08/09 07:02:20  EST","low","0","no","34.06694","-117.48972","0120152234","06 am","","never","off","","no","","","","","medium","unknown","","not installed","not installed","not installed","unknown","HH","Heavy Haul","yes","DD","FON","2006","48 ft","unknown","unknown","unknown","unknown","untethered","","","disconnected","","no","ungrouped","","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"BGME","DD03","4.72 miles NNW of H&P Yard in Jacinto...","01/07/09 21:40:57  EST","UTT Status Report","01/07/09 21:39:56  EST","high","55","no","29.81250","-95.23888","0120119980","06 am","","never","off","","no","","","","","","unknown","","not installed","not installed","not installed","unknown","HH","Heavy Haul","yes","GN","TRK","1996","40 ft","unknown","unknown","unknown","unknown","untethered","","","disconnected","","no","ungrouped","","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"BGME","DD04","At Bennett Yard in MCDONOUGH, GA","01/08/09 01:44:26  EST","UTT Status Report","01/08/09 07:09:00  EST","low","0","no","33.41944","-84.18416","0120152246","06 am","","never","off","","no","","","","","high","unknown","","not installed","not installed","not installed","unknown","HH","Heavy Haul","yes","DD","","","48 ft","unknown","unknown","unknown","unknown","untethered","","","disconnected","12/20/08 20:05:07  EST","no","ungrouped","","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"BGME","DD05","3.93 miles WNW of San Jose Del Oro, CH","01/08/09 06:24:06  EST","UTT Status Report","01/08/09 06:23:47  EST","low","1","no","26.95805","-101.37611","0120198515","06 am","","never","off","","no","","","","","","unknown","","not installed","not installed","not installed","disabled","HH","Heavy Haul","yes","GN","TLK","2002","48 ft","unknown","unknown","unknown","unknown","untethered","","","disconnected","","no","ungrouped","TE.03.28.00000","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
